,Address
0,"{'latitude': 40.706074, 'formatted_address': '156 Front St, New York, NY 10038, USA', 'longitude': -74.005563}"
1,"{'latitude': 40.7096248, 'formatted_address': '9 Maiden Ln, New York, NY 10038, USA', 'longitude': -74.0093371}"
2,"{'latitude': 40.7098261, 'formatted_address': '12 John St, New York, NY 10038, USA', 'longitude': -74.0091249}"
3,"{'latitude': 40.7066593, 'formatted_address': '50 Battery Pl, New York, NY 10280, USA', 'longitude': -74.0179414}"
4,"{'latitude': 40.7074532, 'formatted_address': '70 Battery Pl, New York, NY 10280, USA', 'longitude': -74.01757730000001}"
5,"{'latitude': 40.7071929, 'formatted_address': '211 Pearl St, New York, NY 10038, USA', 'longitude': -74.0065879}"
6,"{'latitude': 40.7090088, 'formatted_address': '82 Fulton St, New York, NY 10038, USA', 'longitude': -74.0058712}"
7,"{'latitude': 40.7138923, 'formatted_address': '53 Park Pl, New York, NY 10007, USA', 'longitude': -74.01025299999999}"
8,"{'latitude': 40.708556, 'formatted_address': '87 John St, New York, NY 10038, USA', 'longitude': -74.00642100000002}"
9,"{'latitude': 40.7090088, 'formatted_address': '82 Fulton St, New York, NY 10038, USA', 'longitude': -74.0058712}"
10,"{'latitude': 40.708556, 'formatted_address': '87 John St, New York, NY 10038, USA', 'longitude': -74.00642100000002}"
11,"{'latitude': 40.7250926, 'formatted_address': '303 Elizabeth St, New York, NY 10012, USA', 'longitude': -73.9933923}"
12,"{'latitude': 40.7551253, 'formatted_address': '320 W 38th St, New York, NY 10018, USA', 'longitude': -73.99304120000001}"
13,"{'latitude': 40.7937462, 'formatted_address': '741-753 W 96th St, New York, NY 10025, USA', 'longitude': -73.9692292}"
14,"{'latitude': 40.706074, 'formatted_address': '156 Front St, New York, NY 10038, USA', 'longitude': -74.005563}"
15,"{'latitude': 40.7098261, 'formatted_address': '12 John St, New York, NY 10038, USA', 'longitude': -74.0091249}"
16,"{'latitude': 40.7099702, 'formatted_address': '17 John St, New York, NY 10038, USA', 'longitude': -74.0087412}"
17,"{'latitude': 40.7159783, 'formatted_address': '147 Chambers St, New York, NY 10007, USA', 'longitude': -74.0096945}"
18,"{'latitude': 40.7080047, 'formatted_address': '84 William St, New York, NY 10038, USA', 'longitude': -74.0077256}"
19,"{'latitude': 40.7072745, 'formatted_address': '217 Front St, New York, NY 10038, USA', 'longitude': -74.00224}"
20,"{'latitude': 40.7093494, 'formatted_address': '21 Maiden Ln, New York, NY 10038, USA', 'longitude': -74.0090053}"
21,"{'latitude': 40.7184218, 'formatted_address': '43 White St, New York, NY 10013, USA', 'longitude': -74.0043743}"
22,"{'latitude': 40.70744029999999, 'formatted_address': '127 John St, New York, NY 10038, USA', 'longitude': -74.0048334}"
23,"{'latitude': 40.7178487, 'formatted_address': '400 Chambers St, New York, NY 10282, USA', 'longitude': -74.0151854}"
24,"{'latitude': 40.7080047, 'formatted_address': '84 William St, New York, NY 10038, USA', 'longitude': -74.0077256}"
25,"{'latitude': 40.7317524, 'formatted_address': '464 Hudson St, New York, NY 10014, USA', 'longitude': -74.00631229999999}"
26,"{'latitude': 40.7096248, 'formatted_address': '9 Maiden Ln, New York, NY 10038, USA', 'longitude': -74.0093371}"
27,"{'latitude': 40.7096248, 'formatted_address': '9 Maiden Ln, New York, NY 10038, USA', 'longitude': -74.0093371}"
28,"{'latitude': 40.7094264, 'formatted_address': '135 William St, New York, NY 10038, USA', 'longitude': -74.0067062}"
29,"{'latitude': 40.706074, 'formatted_address': '156 Front St, New York, NY 10038, USA', 'longitude': -74.005563}"
30,"{'latitude': 40.718154, 'formatted_address': '176 W Broadway, New York, NY 10013, USA', 'longitude': -74.00744399999999}"
31,"{'latitude': 40.7093494, 'formatted_address': '21 Maiden Ln, New York, NY 10038, USA', 'longitude': -74.0090053}"
32,"{'latitude': 40.7263066, 'formatted_address': '640 Broadway, New York, NY 10012, USA', 'longitude': -73.9957754}"
33,"{'latitude': 40.71581339999999, 'formatted_address': '122 Duane St, New York, NY 10007, USA', 'longitude': -74.0069488}"
34,"{'latitude': 40.7098261, 'formatted_address': '12 John St, New York, NY 10038, USA', 'longitude': -74.0091249}"
35,"{'latitude': 40.7149324, 'formatted_address': '99 Chambers St, New York, NY 10007, USA', 'longitude': -74.0076823}"
36,"{'latitude': 40.7240531, 'formatted_address': '58 Avenue A, New York, NY 10009, USA', 'longitude': -73.9847734}"
37,"{'latitude': 40.7368639, 'formatted_address': '371 2nd Ave, New York, NY 10010, USA', 'longitude': -73.9819337}"
38,"{'latitude': 40.7431913, 'formatted_address': '196 7th Ave, New York, NY 10011, USA', 'longitude': -73.99652309999999}"
39,"{'latitude': 40.7099702, 'formatted_address': '17 John St, New York, NY 10038, USA', 'longitude': -74.0087412}"
40,"{'latitude': 40.7159783, 'formatted_address': '147 Chambers St, New York, NY 10007, USA', 'longitude': -74.0096945}"
41,"{'latitude': 40.72582260000001, 'formatted_address': '88 E 4th St, New York, NY 10003, USA', 'longitude': -73.9890284}"
42,"{'latitude': 40.7149324, 'formatted_address': '99 Chambers St, New York, NY 10007, USA', 'longitude': -74.0076823}"
43,"{'latitude': 40.7162516, 'formatted_address': '106 Bayard St, New York, NY 10013, USA', 'longitude': -73.999943}"
44,"{'latitude': 40.738165, 'formatted_address': '51 7th Ave, New York, NY 10011, USA', 'longitude': -73.99971699999999}"
45,"{'latitude': 40.7086761, 'formatted_address': '110 Greenwich St, New York, NY 10006, USA', 'longitude': -74.0135557}"
46,"{'latitude': 40.718154, 'formatted_address': '176 W Broadway, New York, NY 10013, USA', 'longitude': -74.00744399999999}"
47,"{'latitude': 40.7357173, 'formatted_address': '337 W 11th St, New York, NY 10014, USA', 'longitude': -74.00804730000002}"
48,"{'latitude': 40.72243659999999, 'formatted_address': '24 Avenue B, New York, NY 10009, USA', 'longitude': -73.9835684}"
49,"{'latitude': 40.7255117, 'formatted_address': '304 Mulberry St, New York, NY 10012, USA', 'longitude': -73.9944579}"
50,"{'latitude': 40.7138138, 'formatted_address': '10 Rutgers St, New York, NY 10002, USA', 'longitude': -73.9905677}"
51,"{'latitude': 40.7162516, 'formatted_address': '106 Bayard St, New York, NY 10013, USA', 'longitude': -73.999943}"
52,"{'latitude': 40.7098261, 'formatted_address': '12 John St, New York, NY 10038, USA', 'longitude': -74.0091249}"
53,"{'latitude': 40.725988, 'formatted_address': '112 Sullivan St, New York, NY 10012, USA', 'longitude': -74.003083}"
54,"{'latitude': 40.7162516, 'formatted_address': '106 Bayard St, New York, NY 10013, USA', 'longitude': -73.999943}"
55,"{'latitude': 40.725988, 'formatted_address': '112 Sullivan St, New York, NY 10012, USA', 'longitude': -74.003083}"
56,"{'latitude': 40.7149324, 'formatted_address': '99 Chambers St, New York, NY 10007, USA', 'longitude': -74.0076823}"
57,"{'latitude': 40.71921409999999, 'formatted_address': '212 Grand St, New York, NY 10013, USA', 'longitude': -73.99602460000001}"
58,"{'latitude': 40.7195536, 'formatted_address': '160 Mott St, New York, NY 10013, USA', 'longitude': -73.9960361}"
59,"{'latitude': 40.7257931, 'formatted_address': '156 Prince St, New York, NY 10012, USA', 'longitude': -74.0013444}"
60,"{'latitude': 40.70565390000001, 'formatted_address': '67 Wall St, New York, NY 10005, USA', 'longitude': -74.0081944}"
61,"{'latitude': 40.7066745, 'formatted_address': '100 Maiden Ln, New York, NY 10038, USA', 'longitude': -74.0071976}"
62,"{'latitude': 40.7317524, 'formatted_address': '464 Hudson St, New York, NY 10014, USA', 'longitude': -74.00631229999999}"
63,"{'latitude': 40.7341766, 'formatted_address': '1 Christopher St, New York, NY 10014, USA', 'longitude': -74.00000399999999}"
64,"{'latitude': 40.7080047, 'formatted_address': '84 William St, New York, NY 10038, USA', 'longitude': -74.0077256}"
65,"{'latitude': 40.718154, 'formatted_address': '176 W Broadway, New York, NY 10013, USA', 'longitude': -74.00744399999999}"
66,"{'latitude': 40.7230771, 'formatted_address': '40 Prince St, New York, NY 10012, USA', 'longitude': -73.9954478}"
67,"{'latitude': 40.733801, 'formatted_address': '697 Greenwich St, New York, NY 10014, USA', 'longitude': -74.00698899999999}"
68,"{'latitude': 40.7093494, 'formatted_address': '21 Maiden Ln, New York, NY 10038, USA', 'longitude': -74.0090053}"
69,"{'latitude': 40.718154, 'formatted_address': '176 W Broadway, New York, NY 10013, USA', 'longitude': -74.00744399999999}"
70,"{'latitude': 40.736159, 'formatted_address': '51 Irving Pl, New York, NY 10003, USA', 'longitude': -73.98753599999999}"
71,"{'latitude': 40.71581339999999, 'formatted_address': '122 Duane St, New York, NY 10007, USA', 'longitude': -74.0069488}"
72,"{'latitude': 40.7149324, 'formatted_address': '99 Chambers St, New York, NY 10007, USA', 'longitude': -74.0076823}"
73,"{'latitude': 40.7143084, 'formatted_address': '111 Division St, New York, NY 10002, USA', 'longitude': -73.99233199999999}"
74,"{'latitude': 40.718154, 'formatted_address': '176 W Broadway, New York, NY 10013, USA', 'longitude': -74.00744399999999}"
75,"{'latitude': 40.733801, 'formatted_address': '697 Greenwich St, New York, NY 10014, USA', 'longitude': -74.00698899999999}"
76,"{'latitude': 40.7086761, 'formatted_address': '110 Greenwich St, New York, NY 10006, USA', 'longitude': -74.0135557}"
77,"{'latitude': 40.7184218, 'formatted_address': '43 White St, New York, NY 10013, USA', 'longitude': -74.0043743}"
78,"{'latitude': 40.7221789, 'formatted_address': '36 Laight St, New York, NY 10013, USA', 'longitude': -74.0074501}"
79,"{'latitude': 40.71657, 'formatted_address': '51 Ludlow St, New York, NY 10002, USA', 'longitude': -73.99042}"
80,"{'latitude': 40.7240531, 'formatted_address': '58 Avenue A, New York, NY 10009, USA', 'longitude': -73.9847734}"
81,"{'latitude': 40.706074, 'formatted_address': '156 Front St, New York, NY 10038, USA', 'longitude': -74.005563}"
82,"{'latitude': 40.7268018, 'formatted_address': '30 Charlton St, New York, NY 10014, USA', 'longitude': -74.0043743}"
83,"{'latitude': 40.8246682, 'formatted_address': '281 Edgecombe Ave, New York, NY 10031, USA', 'longitude': -73.94349059999999}"
84,"{'latitude': 40.73921199999999, 'formatted_address': '268 Park Ave S, New York, NY 10010, USA', 'longitude': -73.987437}"
85,"{'latitude': 40.731068, 'formatted_address': '55 Third Ave, New York, NY 10003, USA', 'longitude': -73.9884998}"
86,"{'latitude': 40.72791, 'formatted_address': '223 E 6th St, New York, NY 10003, USA', 'longitude': -73.9891789}"
87,"{'latitude': 40.7221789, 'formatted_address': '36 Laight St, New York, NY 10013, USA', 'longitude': -74.0074501}"
88,"{'latitude': 40.7308623, 'formatted_address': '29 7th Ave S, New York, NY 10014, USA', 'longitude': -74.00414479999999}"
89,"{'latitude': 40.7149324, 'formatted_address': '99 Chambers St, New York, NY 10007, USA', 'longitude': -74.0076823}"
90,"{'latitude': 40.7245012, 'formatted_address': '53 E Houston St, New York, NY 10012, USA', 'longitude': -73.994412}"
91,"{'latitude': 40.71581339999999, 'formatted_address': '122 Duane St, New York, NY 10007, USA', 'longitude': -74.0069488}"
92,"{'latitude': 40.7162516, 'formatted_address': '106 Bayard St, New York, NY 10013, USA', 'longitude': -73.999943}"
93,"{'latitude': 40.7257349, 'formatted_address': '100 Sullivan St, New York, NY 10012, USA', 'longitude': -74.0032496}"
94,"{'latitude': 40.73938100000001, 'formatted_address': '91 7th Ave, New York, NY 10011, USA', 'longitude': -73.99843299999999}"
95,"{'latitude': 40.72621400000001, 'formatted_address': '63 2nd Ave, New York, NY 10003, USA', 'longitude': -73.989976}"
96,"{'latitude': 40.725988, 'formatted_address': '112 Sullivan St, New York, NY 10012, USA', 'longitude': -74.003083}"
97,"{'latitude': 40.71581339999999, 'formatted_address': '122 Duane St, New York, NY 10007, USA', 'longitude': -74.0069488}"
98,"{'latitude': 40.71810079999999, 'formatted_address': '259 Broome St, New York, NY 10002, USA', 'longitude': -73.9904899}"
99,"{'latitude': 40.73011, 'formatted_address': '228 Bleecker St, New York, NY 10014, USA', 'longitude': -74.002515}"
100,"{'latitude': 40.7250297, 'formatted_address': '21 E 2nd St, New York, NY 10003, USA', 'longitude': -73.99106050000002}"
101,"{'latitude': 40.724311, 'formatted_address': '65 Sullivan St, New York, NY 10012, USA', 'longitude': -74.0039201}"
102,"{'latitude': 40.7162516, 'formatted_address': '106 Bayard St, New York, NY 10013, USA', 'longitude': -73.999943}"
103,"{'latitude': 40.71581339999999, 'formatted_address': '122 Duane St, New York, NY 10007, USA', 'longitude': -74.0069488}"
104,"{'latitude': 40.7266476, 'formatted_address': '202 6th Ave, New York, NY 10013, USA', 'longitude': -74.0030395}"
105,"{'latitude': 40.71581339999999, 'formatted_address': '122 Duane St, New York, NY 10007, USA', 'longitude': -74.0069488}"
106,"{'latitude': 40.725988, 'formatted_address': '112 Sullivan St, New York, NY 10012, USA', 'longitude': -74.003083}"
107,"{'latitude': 40.7162516, 'formatted_address': '106 Bayard St, New York, NY 10013, USA', 'longitude': -73.999943}"
108,"{'latitude': 40.7317524, 'formatted_address': '464 Hudson St, New York, NY 10014, USA', 'longitude': -74.00631229999999}"
109,"{'latitude': 40.7400559, 'formatted_address': '12 E 22nd St, New York, NY 10010, USA', 'longitude': -73.9887467}"
110,"{'latitude': 40.7240531, 'formatted_address': '58 Avenue A, New York, NY 10009, USA', 'longitude': -73.9847734}"
111,"{'latitude': 40.71921409999999, 'formatted_address': '212 Grand St, New York, NY 10013, USA', 'longitude': -73.99602460000001}"
112,"{'latitude': 40.7324081, 'formatted_address': '26 Grove St, New York, NY 10014, USA', 'longitude': -74.00497109999999}"
